name,sex,age,height,weight,team,noc,year,season,sport,medal
Louise Jhncke (-Tjrnqvist),F,24.0,175,70,Sweden,SWE,2000,Summer,Swimming,Bronze
Vibeke Johnsen,F,19.0,176,70,Norway,NOR,1988,Summer,Handball,Silver
Allen Kenneth Johnson,M,25.0,178,70,United States,USA,1996,Summer,Athletics,Gold
Ashleigh Johnson,F,21.0,186,81,United States,USA,2016,Summer,Water Polo,Gold
"Benjamin Sinclair ""Ben"" Johnson, Jr.",M,22.0,177,75,Canada,CAN,1984,Summer,Athletics,Bronze
"Benjamin Sinclair ""Ben"" Johnson, Jr.",M,22.0,177,75,Canada,CAN,1984,Summer,Athletics,Bronze
"William Dean ""Bill"" Johnson",M,23.0,175,77,United States,USA,1984,Winter,Alpine Skiing,Gold
"Richard Andrew ""Butch"" Johnson",M,40.0,191,98,United States,USA,1996,Summer,Archery,Gold
"Richard Andrew ""Butch"" Johnson",M,45.0,191,98,United States,USA,2000,Summer,Archery,Bronze
Carl Edward Johnson,M,21.0,175,61,United States,USA,1920,Summer,Athletics,Silver
"Christopher Omar ""Chris"" Johnson",M,20.0,180,75,Canada,CAN,1992,Summer,Boxing,Bronze
"Cornelius Cooper ""Corny"" Johnson",M,22.0,191,79,United States,USA,1936,Summer,Athletics,Gold
Courtney Anne Johnson (Young-),F,26.0,162,59,United States,USA,2000,Summer,Water Polo,Silver
"David Alan ""Dave"" Johnson",M,29.0,190,91,United States,USA,1992,Summer,Athletics,Bronze
David Charles Johnson,M,21.0,186,75,United States,USA,1968,Summer,Swimming,Gold
David Charles Johnson,M,21.0,186,75,United States,USA,1968,Summer,Swimming,Gold
Derek James Neville Johnson,M,23.0,176,66,Great Britain,GBR,1956,Summer,Athletics,Silver
Derek James Neville Johnson,M,23.0,176,66,Great Britain,GBR,1956,Summer,Athletics,Bronze
Robert Earl Johnson,M,33.0,170,59,United States,USA,1924,Summer,Athletics,Bronze
Robert Earl Johnson,M,33.0,170,59,United States,USA,1924,Summer,Athletics,Silver
Emma Clare Johnson,F,16.0,179,72,Australia,AUS,1996,Summer,Swimming,Bronze
Erik Robert Johnson,M,21.0,193,107,United States,USA,2010,Winter,Ice Hockey,Silver
Francis Lee Johnson,M,25.0,180,79,United States,USA,1936,Summer,Basketball,Gold
"Gregory ""Greg"" Johnson",M,22.0,178,79,Canada,CAN,1994,Winter,Ice Hockey,Silver
"John Joseph Louis ""Jack"" Johnson, III",M,23.0,183,100,United States,USA,2010,Winter,Ice Hockey,Silver
Jan Eric Johnson,M,21.0,180,70,United States,USA,1972,Summer,Athletics,Bronze
Jenna Leigh Johnson,F,16.0,180,63,United States,USA,1984,Summer,Swimming,Gold
Jenna Leigh Johnson,F,16.0,180,63,United States,USA,1984,Summer,Swimming,Silver
Jenna Leigh Johnson,F,16.0,180,63,United States,USA,1984,Summer,Swimming,Gold
"Katherine ""Kate"" Johnson",F,25.0,177,74,United States,USA,2004,Summer,Rowing,Silver
"Kathryn Louise ""Kath"" Johnson",F,25.0,170,65,Great Britain,GBR,1992,Summer,Hockey,Bronze
"Kathleen Ann ""Kathy"" Johnson (-Clarke)",F,24.0,153,45,United States,USA,1984,Summer,Gymnastics,Silver
"Kathleen Ann ""Kathy"" Johnson (-Clarke)",F,24.0,153,45,United States,USA,1984,Summer,Gymnastics,Bronze
Lawrence Clayton Johnson,M,26.0,185,86,United States,USA,2000,Summer,Athletics,Silver
Terence Lloyd Johnson,M,48.0,178,60,Great Britain,GBR,1948,Summer,Athletics,Bronze
"Earvin ""Magic"" Johnson, Jr.",M,32.0,205,100,United States,USA,1992,Summer,Basketball,Gold
Mark Einar Johnson,M,22.0,175,73,United States,USA,1980,Winter,Ice Hockey,Gold
Marvin L. Johnson,M,18.0,177,75,United States,USA,1972,Summer,Boxing,Bronze
Michael Duane Johnson,M,24.0,183,77,United States,USA,1992,Summer,Athletics,Gold
Michael Duane Johnson,M,28.0,183,77,United States,USA,1996,Summer,Athletics,Gold
Michael Duane Johnson,M,28.0,183,77,United States,USA,1996,Summer,Athletics,Gold
Michael Duane Johnson,M,33.0,183,77,United States,USA,2000,Summer,Athletics,Gold
Paul Herbert Johnson,M,24.0,183,82,United States,USA,1960,Winter,Ice Hockey,Gold
Rafer Lewis Johnson,M,21.0,190,91,United States,USA,1956,Summer,Athletics,Silver
Rafer Lewis Johnson,M,25.0,190,91,United States,USA,1960,Summer,Athletics,Gold
Scott Philip Johnson,M,23.0,160,57,United States,USA,1984,Summer,Gymnastics,Gold
Shannon Regina Johnson,F,29.0,182,81,United States,USA,2004,Summer,Basketball,Gold
Shawn Machel Johnson (-East),F,16.0,145,41,United States,USA,2008,Summer,Gymnastics,Silver
Shawn Machel Johnson (-East),F,16.0,145,41,United States,USA,2008,Summer,Gymnastics,Silver
Shawn Machel Johnson (-East),F,16.0,145,41,United States,USA,2008,Summer,Gymnastics,Silver
Shawn Machel Johnson (-East),F,16.0,145,41,United States,USA,2008,Summer,Gymnastics,Gold
Sheryl Ann Johnson,F,26.0,170,57,United States,USA,1984,Summer,Hockey,Bronze
Sonja Johnson,F,40.0,162,60,Australia,AUS,2008,Summer,Equestrianism,Silver
Steele Alexander Johnson,M,20.0,188,80,United States,USA,2016,Summer,Diving,Silver
Steve Johnson,M,26.0,188,86,United States-2,USA,2016,Summer,Tennis,Bronze
Horace Thomas Johnson,M,21.0,163,70,Great Britain,GBR,1908,Summer,Cycling,Silver
Horace Thomas Johnson,M,33.0,163,70,Great Britain,GBR,1920,Summer,Cycling,Silver
Horace Thomas Johnson,M,33.0,163,70,Great Britain,GBR,1920,Summer,Cycling,Silver
"Philip Anthony ""Tony"" Johnson",M,27.0,191,86,United States,USA,1968,Summer,Rowing,Silver
William Roy Johnson,M,21.0,191,86,United States,USA,1968,Summer,Swimming,Gold
William Roy Johnson,M,21.0,191,86,United States,USA,1968,Summer,Swimming,Gold
Yudel Johnson Cedeno,M,23.0,158,64,Cuba,CUB,2004,Summer,Boxing,Silver
Sheena Johnson-Tosta,F,25.0,165,57,United States,USA,2008,Summer,Athletics,Silver
"Abigail Louise ""Abby"" Johnston",F,22.0,165,61,United States,USA,2012,Summer,Diving,Silver
"Herbert Arthur ""Bert"" Johnston",M,22.0,179,73,Great Britain,GBR,1924,Summer,Athletics,Silver
"Donald Hendrik ""Don"" Johnston",M,20.0,188,84,United States,USA,1920,Summer,Rowing,Gold
"Peter Gregory ""Greg"" Johnston",M,29.0,195,91,New Zealand,NZL,1988,Summer,Rowing,Bronze
Marshall Lawrence Johnston,M,26.0,177,81,Canada,CAN,1968,Winter,Ice Hockey,Bronze
Rebecca Ann Johnston,F,20.0,170,67,Canada,CAN,2010,Winter,Ice Hockey,Gold
Rebecca Ann Johnston,F,24.0,170,67,Canada,CAN,2014,Winter,Ice Hockey,Gold
Jennifer Claire Joines (-Tamas),F,25.0,191,82,United States,USA,2008,Summer,Volleyball,Silver
